Cell_lines,CIDs,IC50,Average_IC50,Tissue,logIC50
BT474,CIDs16720766,"[0.1357, 0.1394, 0.1519, 0.1639, 0.1741, 0.2003, 0.2201, 0.2213, 0.2295, 0.2361, 0.2569]",0.1935599999999999,breast,0.7131843865634137
BT474,CIDs17754438,"[0.01672, 0.03295, 0.05171, 0.08796, 0.1524]",0.06835,breast,1.1652614810961592
BT474,CIDs23725625,"[0.01795, 0.02169, 0.04086, 0.04968, 0.04976, 0.05296, 0.06211, 0.06476, 0.06553, 0.08608, 0.1036, 0.134, 0.1448, 0.1507, 0.1734, 0.261, 0.2848, 0.3318, 0.4989, 4.426]",0.35102,breast,0.454668138114842
BT474,CIDs24856436,"[0.3252, 0.3332, 0.337, 0.3423, 0.3445, 0.3814, 0.4136, 0.6752, 1.202, 1.343]",0.5697399999999999,breast,0.2443232887591397
BT474,CIDs24964624,"[0.1453, 0.158, 0.1597, 0.1615, 0.1623, 0.1623, 0.1652, 0.168, 0.1743, 0.1818, 0.1925, 0.1927, 0.1935, 0.2141, 0.2147, 0.2244, 0.2282, 0.2404, 0.284]",0.19068,breast,0.7196948567449957
BT474,CIDs24978538,"[0.04866, 0.4959, 0.5561, 0.7361]",0.45919,breast,0.3380075783455095
BT474,CIDs25033539,"[0.1217, 0.1313, 0.1414, 0.1447, 0.1537, 0.155, 0.1578, 0.1615, 0.1721]",0.1488,breast,0.8273970687901402
BT474,CIDs25194865,"[0.1852, 0.1874, 0.191, 0.1992, 0.1994, 0.2074, 0.2115, 0.2566, 0.2841, 0.2872]",0.2209,breast,0.6558042841285651
BT474,CIDs45375953,"[0.03229, 0.07698, 0.09128, 0.2068, 0.2246, 0.6439, 1.287]",0.36612,breast,0.4363765463099681
BT474,CIDs46244453,"[0.5661, 0.6969, 1.949, 7.819]",2.75775,breast,-0.4405548932605625
BT474,CIDs46930996,"[0.1907, 0.1948, 0.1992, 0.2019, 0.205, 0.2158, 0.2372, 0.2448, 0.2565, 0.2579, 0.2821]",0.22599,breast,0.6459107778477527
BT474,CIDs49800198,"[0.2441, 1.16]",0.70205,breast,0.1536319563163265
BT474,CIDs49846579,"[2.533, 2.979, 4.652, 5.028]",3.798,breast,-0.5795549604009987
BT474,CIDs49867926,"[0.005423, 0.1072]",0.05631,breast,1.2494144726589913
BT474,CIDs49867930,"[0.00652, 0.01922, 0.0208, 0.02187, 0.02265, 0.02566, 0.02636, 0.0524, 0.5979]",0.08815,breast,1.0547776833646592
BT474,CIDs51039095,"[0.004427, 0.006832, 0.0109, 0.01181, 0.02624, 0.02679, 0.03728, 0.05507, 0.068, 0.07197, 0.2882, 0.3853, 0.8551, 6.364, 8.806]",1.1345299999999998,breast,-0.0548159842775408
BT474,CIDs56946894,"[0.006965, 0.007477]",0.00722,breast,2.141462802430361
BT474,CIDs70685869,"[0.02728, 0.03261]",0.0299399999999999,breast,1.5237482039929664
BT549,CIDs10127622,"[0.006997, 0.01219, 0.01621, 0.0179, 0.02088, 0.02207, 0.02515, 0.02715, 0.02717, 0.03599, 0.1102, 0.1192, 0.236, 0.7341, 47.59, 170.5]",13.71883,breast,-1.137317074474908
BT549,CIDs10163178,"[0.0009921, 0.004566, 0.006219, 0.03784, 0.04593]",0.01911,breast,1.7187393129449873
BT549,CIDs11375205,"[0.02588, 0.03199, 0.05505, 0.07339, 0.1563, 0.2767, 2.463]",0.44033,breast,0.3562217247366698
BT549,CIDs23725625,"[1.047, 1.068, 1.665, 2.223]",1.50075,breast,-0.1763083520279114
BT549,CIDs46224759,"[0.02677, 0.1173]",0.0720399999999999,breast,1.1424262958525044
BT549,CIDs46244453,"[0.5575, 0.6127, 1.474, 1.91]",1.13855,breast,-0.0563521076321292
BT549,CIDs49800198,[0.1953],0.1953,breast,0.7092977567121456
BT549,CIDs58423153,"[0.01677, 0.1756, 0.1767, 0.2518, 0.3616, 0.4271, 0.4626]",0.26745,breast,0.5727573977689642
BT549,CIDs67161792,"[0.1372, 0.1544, 0.1865, 0.1989, 0.2393, 0.3959, 0.482, 19.77]",2.69552,breast,-0.4306425585194741
BT549,CIDs67970189,"[0.1662, 0.172, 0.1747, 0.2181, 0.2215]",0.1905,breast,0.7201050199883618
BT549,CIDs73294313,"[0.318, 0.3372, 0.3597, 0.4347, 0.5679]",0.4035,breast,0.3941564609419108
BT549,CIDs74767926,"[0.04668, 0.06601, 0.07046, 0.07466, 0.1062, 0.255, 0.2833, 0.7383]",0.20508,breast,0.6880766912316383
BT549,CIDs76317450,[0.01842],0.01842,breast,1.7347103741391698
C32,CIDs00104842,"[0.001956, 0.002152, 0.00257]",0.00223,skin,2.65169513695184
C32,CIDs00447654,"[1.048, 1.149, 1.289, 1.448]",1.2335,skin,-0.0911391538257548
C32,CIDs10302451,"[1.263, 1.392]",1.3275,skin,-0.1230345297535066
C32,CIDs11519784,"[2.556, 2.962, 3.035]",2.8510000000000004,skin,-0.4549972173094601
C32,CIDs11640390,"[4.164, 4.531, 27.1]",11.93167,skin,-1.0767012333624266
C32,CIDs16659841,[1.376],1.376,skin,-0.1386184338994924
C32,CIDs17755052,"[2.027, 2.112, 2.361, 3.089, 4.421]",2.802,skin,-0.4474681309497558
C32,CIDs23725625,"[7.567, 13.37]",10.4685,skin,-1.0198844573815935
C32,CIDs24998177,"[0.8399, 0.9924]",0.91615,skin,0.0380334140624871
C32,CIDs25071599,"[0.5229, 0.5265, 0.5623]",0.53723,skin,0.2698397434518103
C32,CIDs44137675,"[0.6788, 2.874, 9.303, 16.0]",7.21395,skin,-0.8581731278909459
C32,CIDs44199317,"[25.92, 79.0]",52.46,skin,-1.7198282862543348
C32,CIDs45381890,"[1.972, 2.54, 2.718, 2.82, 2.864]",2.5828,skin,-0.4120907777338019
C32,CIDs46244173,"[2.524, 2.564]",2.544,skin,-0.4055171069763763
C32,CIDs46244453,"[1.076, 1.206]",1.141,skin,-0.0572856444182146
C32,CIDs56673688,"[1.349, 1.414, 1.704, 1.831]",1.5745,skin,-0.1971426649725627
C32,CIDs76321032,"[0.05496, 0.05638, 0.05888, 0.06011, 0.06109, 0.06343, 0.06376, 0.06448, 0.06484, 0.06823, 0.06959, 0.07129, 0.07182, 0.07307, 0.07313, 0.07377, 0.07395, 0.07633, 0.07712, 0.07865, 0.08117, 0.08853]",0.0693,skin,1.1592667653881932
C32,CIDs90667118,"[0.5112, 0.5552, 16.49]",5.8521300000000025,skin,-0.767313965036246
CAL120,CIDs00001805,[0.07199],0.07199,breast,1.1427278264359586
CAL120,CIDs00002719,[119.9],119.9,breast,-2.0788191830988487
CAL120,CIDs00005311,[0.7946],0.7946,breast,0.0998514392806559
CAL120,CIDs00005515,[0.000832],0.00083,breast,3.0809219076239263
CAL120,CIDs06442177,[0.005999],0.006,breast,2.221848749616356
CAL120,CIDs09933475,[0.5767],0.5767,breast,0.2390500485891027
CAL120,CIDs10127622,"[0.001583, 0.03944, 0.04637, 0.06652, 0.0696, 0.09146, 0.09856, 0.1104, 0.1433, 0.1826, 0.1856, 0.3543, 1.328]",0.20906,breast,0.6797290539401678
CAL120,CIDs10163178,"[0.002146, 0.007479]",0.00481,breast,2.317854923626168
CAL120,CIDs11152667,[0.2206],0.2206,breast,0.6563944918958282
CAL120,CIDs11556711,[0.000547],0.00055,breast,3.2596373105057563
CAL120,CIDs11656518,[0.08979],0.08979,breast,1.0467720284401465
CAL120,CIDs11955716,[0.009938],0.00994,breast,2.002613615602687
CAL120,CIDs16659841,[0.7373],0.7373,breast,0.1323557660969015
CAL120,CIDs16719221,[0.4137],0.4137,breast,0.3833144791044878
CAL120,CIDs17754438,[0.01599],0.01599,breast,1.7961515362537652
CAL120,CIDs24978538,[0.4846],0.4846,breast,0.3146165901985126
CAL120,CIDs44381568,[0.1539],0.1539,breast,0.8127613801685213
CAL120,CIDs46224759,"[0.02619, 0.1184, 0.2943, 0.3624]",0.20032,breast,0.6982756884696644
CAL120,CIDs46244453,"[0.05911, 0.1207, 0.2923, 0.3088]",0.19523,breast,0.7094534457196934
CAL120,CIDs56953069,[0.9871],0.9871,breast,0.0056388480919989
CAL120,CIDs67161792,"[0.09095, 0.1152, 0.1432, 0.1556, 0.2072, 0.3312, 1.426, 1.675]",0.51804,breast,0.2856367052961076
CAL120,CIDs67970189,"[0.005074, 0.00725, 0.008091, 0.009116, 0.009365, 0.01171, 0.01267, 0.01288]",0.00952,breast,2.0213630516155257
CAL120,CIDs73294313,"[0.317, 0.3557, 1.305, 1.321, 1.727, 5.75]",1.79595,breast,-0.2542942415593669
CAL120,CIDs74767926,"[0.05589, 0.07179, 0.2026, 1.068]",0.34957,breast,0.4564658454698616
CAL120,CIDs76317450,[0.005415],0.00541,breast,2.2668027348934308
CAL148,CIDs10127622,"[0.004656, 0.006814, 0.008079, 0.008229, 0.01345, 0.0194, 0.02081, 0.02403, 0.03242, 0.03613, 0.04574, 0.05316, 0.09759, 4.246]",0.32975,breast,0.4818151957815971
CAL148,CIDs10163178,"[0.0007237, 0.0008189, 0.002941, 0.005782, 0.3712]",0.07629,breast,1.1175323851046286
CAL148,CIDs11375205,"[0.05373, 0.05756]",0.05565,breast,1.2545348313292728
CAL148,CIDs23725625,"[0.0723, 0.2974, 0.3506, 0.3517, 0.5231, 1.257, 1.389]",0.60587,breast,0.217620551311057
CAL148,CIDs46244453,"[0.3673, 0.3899, 0.4316, 0.5047, 1.467, 1.476, 9.895]",2.07593,breast,-0.3172127050886171
CAL148,CIDs49800198,[0.004062],0.00406,breast,2.3914739664228057
CAL148,CIDs58423153,"[0.01705, 0.1107, 0.1616, 0.2447]",0.13351,breast,0.8744862040958851
CAL148,CIDs67161792,"[0.1112, 0.1127, 0.1128, 0.1182, 0.1281, 0.1361]",0.11985,breast,0.9213619616303274
CAL148,CIDs67970189,"[0.03074, 0.03214, 0.03671, 0.03782, 0.04059, 0.04432, 0.04786, 0.04849]",0.03983,breast,1.399789693590672
CAL148,CIDs73294313,"[0.04838, 0.1773, 0.2856]",0.17043,breast,0.7684539560030791
CAL148,CIDs74767926,"[0.03802, 0.03967, 0.2112, 0.2199, 0.3037]",0.1625,breast,0.7891466346851068
CAL148,CIDs76317450,[0.002737],0.00274,breast,2.562249437179612
CAL51,CIDs10127622,"[0.03435, 0.04606, 0.07022, 0.09049, 0.09752, 0.09814, 0.2153, 0.2575, 0.2623, 0.2786, 0.3062, 1.823, 6.98, 11.55]",1.57926,breast,-0.1984536355623334
CAL51,CIDs10163178,"[0.0002855, 0.003131, 0.02826, 0.06876, 1.383]",0.29669,breast,0.5276970914250124
CAL51,CIDs11375205,"[0.03456, 0.036, 0.1721, 0.3617, 0.395, 1.454, 4.035, 11.47]",2.24479,breast,-0.3511757190110433
CAL51,CIDs23725625,"[1.939, 3.263, 3.277, 11.87, 14.56, 16.3]",8.53483,breast,-0.9311948750937276
CAL51,CIDs46224759,"[0.02351, 0.07486, 0.09998, 0.204, 0.288]",0.13807,breast,0.8599006751492055
CAL51,CIDs46244453,"[0.2425, 0.2602, 0.27, 0.285, 0.3099]",0.27352,breast,0.5630109122114618
CAL51,CIDs49800198,[0.0169],0.0169,breast,1.7721132953863266
CAL51,CIDs58423153,"[0.004063, 0.01537, 0.04735, 0.3176, 0.4778]",0.17244,breast,0.7633619858181495
CAL51,CIDs67161792,"[0.1143, 0.1262, 0.1677, 0.1735, 0.1806, 0.1963, 0.2271]",0.16939,breast,0.7711122319805785
CAL51,CIDs67970189,"[0.02373, 0.02431, 0.02902, 0.1418, 0.1565, 0.2373]",0.10211,breast,0.9909317238077814
CAL51,CIDs73294313,"[0.3266, 0.3296, 0.3542, 0.3678, 0.7602]",0.42768,breast,0.368881058587538
CAL51,CIDs74767926,"[0.07897, 0.3326, 0.3576, 0.7433, 0.8952]",0.48153,breast,0.3173766505361419
CAL51,CIDs76317450,[0.4025],0.4025,breast,0.3952341152961126
CALU3,CIDs00001690,"[0.003247, 0.009619, 0.0238]",0.01222,lung,1.9129287940934645
CALU3,CIDs00003310,"[0.02647, 0.02947]",0.02797,lung,1.5533075336284727
CALU3,CIDs00003461,[0.003775],0.0037799999999999,lung,2.422508200162775
CALU3,CIDs00123631,[0.1537],0.1537,lung,0.8133261325002549
CALU3,CIDs11152667,"[0.3211, 0.4865, 0.6605]",0.4893699999999999,lung,0.3103626578567353
CALU3,CIDs11327430,[0.1239],0.1239,lung,0.9069286936239366
CALU3,CIDs11707110,"[0.2066, 11.47]",5.8383,lung,-0.7662864073695516
CALU3,CIDs17755052,[2.628],2.628,lung,-0.4196253608877432
CALU3,CIDs23725625,[0.08535],0.08535,lung,1.0687964745492475
CALU3,CIDs24978538,"[0.01657, 0.3471]",0.18184,lung,0.7403105772830856
CALU3,CIDs25262792,"[0.7391, 0.7538, 1.581]",1.02463,lung,-0.0105670673745214
CALU3,CIDs44199317,[0.2143],0.2143,lung,0.6689778289581714
CALU3,CIDs44381568,[0.2467],0.2467,lung,0.6078308505102641
CALU3,CIDs46244453,[5.087],5.087,lung,-0.7064617376313547
CALU3,CIDs46836568,[0.3186],0.3186,lung,0.4967542285348873
CALU3,CIDs49846579,"[0.05944, 0.3156, 0.8815, 0.9453]",0.5504600000000001,lung,0.2592742342043711
CALU3,CIDs56673688,[1.245],1.245,lung,-0.0951693514317552
CALU3,CIDs58423153,"[0.07625, 0.4191]",0.2476699999999999,lung,0.6061265958506167
CALU3,CIDs73294313,[1.451],1.4509999999999998,lung,-0.1616674124377358
CALU6,CIDs00001690,"[0.03814, 0.03936, 0.04175, 0.04186, 0.04713]",0.04165,lung,1.3803849942571935
CALU6,CIDs00064780,[0.001371],0.00137,lung,2.8632794328435933
CALU6,CIDs00123631,"[0.02005, 0.07894]",0.04949,lung,1.3054825461888435
CALU6,CIDs10127622,"[1.159, 1.938]",1.5485,lung,-0.1899112096928056
CALU6,CIDs11152667,"[0.169, 0.1725, 0.1742, 0.1753, 0.1925, 0.1948, 0.1953]",0.18194,lung,0.7400718096252471
CALU6,CIDs11213558,[20.64],20.64,lung,-1.3147096929551738
CALU6,CIDs11327430,"[1.044, 1.217, 1.22]",1.16033,lung,-0.0645815209486945
CALU6,CIDs11375205,[2.035],2.035,lung,-0.3085644135612389
CALU6,CIDs11597571,[0.008562],0.00856,lung,2.067526235322847
CALU6,CIDs11707110,"[0.006547, 0.00667]",0.0066099999999999,lung,2.1797985405143603
CALU6,CIDs25227436,[0.0393],0.0393,lung,1.4056074496245732
CALU6,CIDs25262792,"[0.03813, 0.07288]",0.0555,lung,1.2557070168773237
CALU6,CIDs44137675,"[0.6886, 0.9882]",0.8384,lung,0.0765487303603485
CALU6,CIDs44381568,[2.116],2.116,lung,-0.3255156633631482
CALU6,CIDs44449126,[0.4031],0.4031,lung,0.3945872018469488
CALU6,CIDs46244453,"[1.132, 1.178, 1.268, 1.533, 2.254]",1.473,lung,-0.1682027468426309
CALU6,CIDs46836568,"[0.009417, 0.0148, 0.01538, 0.01792, 0.01888, 0.01944, 0.02005]",0.01656,lung,1.7809396675511386
CALU6,CIDs49846579,"[0.2342, 0.4643]",0.34925,lung,0.4568635852137805
CALU6,CIDs58423153,[2.736],2.736,lung,-0.4371160930480785
CAMA1,CIDs00001805,"[0.03073, 0.1138, 0.1771]",0.1072099999999999,breast,0.9697647039877554
CAMA1,CIDs00003461,[0.4126],0.4126,breast,0.3844707763628672
CAMA1,CIDs00004261,"[0.26, 0.3151, 0.4693, 0.7608]",0.4513,breast,0.3455346664798542
CAMA1,CIDs00005311,"[0.6183, 0.9187, 1.324, 1.615]",1.119,breast,-0.04883008652835
CAMA1,CIDs00093860,"[0.001578, 0.001978, 0.003578, 0.00363, 0.003721, 0.003796, 0.003881, 0.003969, 0.004826]",0.00344,breast,2.46344155742847
CAMA1,CIDs00123631,"[0.0006756, 0.01327, 0.02, 0.04363, 0.04834, 0.0695, 0.1566, 0.3488, 0.4088, 0.9898]",0.20994,breast,0.6779048071334499
CAMA1,CIDs00148191,"[0.002081, 0.003057, 0.003109, 0.003248, 0.003333, 0.004073, 0.004229, 0.004234, 0.005941, 0.01378]",0.00471,breast,2.326979092871104
CAMA1,CIDs00148195,"[0.08419, 0.1013, 0.268]",0.15116,breast,0.8205631167550231
CAMA1,CIDs00176166,[0.02272],0.0227199999999999,breast,1.6435916729610187
CAMA1,CIDs10126189,"[0.007031, 0.007261, 0.007543, 0.007789, 0.008222, 0.008711, 0.009806, 0.0108]",0.0084,breast,2.0757207139381184
CAMA1,CIDs10163178,"[0.0002224, 0.003257, 0.005814, 0.007906, 0.01242, 0.01548, 0.03341]",0.01122,breast,1.950007143079857
CAMA1,CIDs11152667,"[0.03708, 0.07102, 0.08593, 0.1617, 0.1802, 0.3023, 0.305, 0.3111, 0.312, 0.3128, 0.3229, 0.3432, 0.3643, 0.4561, 0.5701, 0.5727, 0.5827, 0.595, 0.6453, 1.125, 3.111, 3.925]",0.66784,breast,0.17532757261464
CAMA1,CIDs11167602,"[0.3283, 0.4249]",0.3766,breast,0.424119684319354
