Cell_Line,COMPOUND_A,COMPOUND_B,SYNERGY_SCORE,Tissue
647V,CIDs15953870,CIDs11375205,6.04,excretory system
647V,CIDs46244453,CIDs11375205,-17.2,excretory system
647V,CIDs72793174,CIDs11375205,21.6,excretory system
647V,CIDs10368812,CIDs11375205,-14.4,excretory system
647V,CIDs51039095,CIDs11375205,13.6,excretory system
647V,CIDs00005311,CIDs11375205,12.4,excretory system
647V,CIDs11955716,CIDs11375205,1.89,excretory system
647V,CIDs49800198,CIDs11375205,6.41,excretory system
647V,CIDs10127622,CIDs11375205,25.4,excretory system
647V,CIDs23725625,CIDs11375205,0.473,excretory system
647V,CIDs58423153,CIDs11375205,32.6,excretory system
647V,CIDs10302451,CIDs11375205,-2.2,excretory system
647V,CIDs00005515,CIDs11375205,-8.89,excretory system
647V,CIDs15953870,CIDs51039095,-11.6,excretory system
647V,CIDs46244453,CIDs51039095,-8.4,excretory system
647V,CIDs72793174,CIDs51039095,-24.7,excretory system
647V,CIDs10368812,CIDs51039095,-4.84,excretory system
647V,CIDs00005311,CIDs51039095,-10.1,excretory system
647V,CIDs11955716,CIDs51039095,-5.42,excretory system
647V,CIDs49800198,CIDs51039095,-34.8,excretory system
647V,CIDs23725625,CIDs51039095,-5.96,excretory system
647V,CIDs58423153,CIDs51039095,-2.08,excretory system
647V,CIDs00005515,CIDs51039095,-7.49,excretory system
647V,CIDs15953870,CIDs00005311,-3.7,excretory system
647V,CIDs46244453,CIDs00005311,-20.0,excretory system
647V,CIDs23725625,CIDs00005311,17.1,excretory system
647V,CIDs15953870,CIDs11955716,6.39,excretory system
647V,CIDs46244453,CIDs11955716,1.44,excretory system
647V,CIDs00005311,CIDs11955716,2.88,excretory system
647V,CIDs23725625,CIDs11955716,21.6,excretory system
647V,CIDs46244453,CIDs49800198,32.4,excretory system
647V,CIDs72793174,CIDs49800198,44.1,excretory system
647V,CIDs00005311,CIDs49800198,-5.73,excretory system
647V,CIDs11955716,CIDs49800198,-24.3,excretory system
647V,CIDs10127622,CIDs49800198,45.6,excretory system
647V,CIDs23725625,CIDs49800198,33.0,excretory system
647V,CIDs58423153,CIDs49800198,39.2,excretory system
647V,CIDs00005515,CIDs49800198,-1.56,excretory system
647V,CIDs15953870,CIDs10127622,4.9,excretory system
647V,CIDs46244453,CIDs10127622,-7.1,excretory system
647V,CIDs72793174,CIDs10127622,25.7,excretory system
647V,CIDs00005311,CIDs10127622,21.4,excretory system
647V,CIDs11955716,CIDs10127622,24.2,excretory system
647V,CIDs23725625,CIDs10127622,29.5,excretory system
647V,CIDs58423153,CIDs10127622,24.6,excretory system
647V,CIDs15953870,CIDs25262792,-0.198,excretory system
647V,CIDs46244453,CIDs25262792,-21.2,excretory system
647V,CIDs72793174,CIDs25262792,24.5,excretory system
647V,CIDs10368812,CIDs25262792,-14.6,excretory system
647V,CIDs11375205,CIDs25262792,36.0,excretory system
647V,CIDs51039095,CIDs25262792,8.47,excretory system
647V,CIDs00005311,CIDs25262792,-1.8,excretory system
647V,CIDs11955716,CIDs25262792,-11.8,excretory system
647V,CIDs49800198,CIDs25262792,-12.5,excretory system
647V,CIDs10127622,CIDs25262792,27.3,excretory system
647V,CIDs23725625,CIDs25262792,4.29,excretory system
647V,CIDs17755052,CIDs25262792,29.5,excretory system
647V,CIDs54751698,CIDs25262792,5.52,excretory system
647V,CIDs58423153,CIDs25262792,27.8,excretory system
647V,CIDs10302451,CIDs25262792,21.2,excretory system
647V,CIDs00005515,CIDs25262792,0.413,excretory system
647V,CIDs15953870,CIDs17755052,-0.794,excretory system
647V,CIDs46244453,CIDs17755052,-8.56,excretory system
647V,CIDs72793174,CIDs17755052,36.0,excretory system
647V,CIDs10368812,CIDs17755052,-9.66,excretory system
647V,CIDs11375205,CIDs17755052,39.2,excretory system
647V,CIDs51039095,CIDs17755052,-5.38,excretory system
647V,CIDs00005311,CIDs17755052,20.3,excretory system
647V,CIDs11955716,CIDs17755052,-4.01,excretory system
647V,CIDs49800198,CIDs17755052,2.6,excretory system
647V,CIDs10127622,CIDs17755052,59.1,excretory system
647V,CIDs23725625,CIDs17755052,13.1,excretory system
647V,CIDs58423153,CIDs17755052,45.3,excretory system
647V,CIDs10302451,CIDs17755052,14.0,excretory system
647V,CIDs00005515,CIDs17755052,3.03,excretory system
647V,CIDs15953870,CIDs54751698,21.8,excretory system
647V,CIDs46244453,CIDs54751698,11.9,excretory system
647V,CIDs72793174,CIDs54751698,64.1,excretory system
647V,CIDs10368812,CIDs54751698,-15.8,excretory system
647V,CIDs11375205,CIDs54751698,33.2,excretory system
647V,CIDs00005311,CIDs54751698,4.9,excretory system
647V,CIDs11955716,CIDs54751698,-14.2,excretory system
647V,CIDs49800198,CIDs54751698,-0.235,excretory system
647V,CIDs10127622,CIDs54751698,74.1,excretory system
647V,CIDs23725625,CIDs54751698,26.7,excretory system
647V,CIDs17755052,CIDs54751698,28.1,excretory system
647V,CIDs58423153,CIDs54751698,61.3,excretory system
647V,CIDs10302451,CIDs54751698,41.9,excretory system
647V,CIDs15953870,CIDs58423153,-4.96,excretory system
647V,CIDs46244453,CIDs58423153,-13.6,excretory system
647V,CIDs72793174,CIDs58423153,61.9,excretory system
647V,CIDs00005311,CIDs58423153,6.08,excretory system
647V,CIDs11955716,CIDs58423153,10.3,excretory system
647V,CIDs23725625,CIDs58423153,24.1,excretory system
647V,CIDs15953870,CIDs10302451,1.52,excretory system
647V,CIDs46244453,CIDs10302451,-36.5,excretory system
647V,CIDs72793174,CIDs10302451,10.8,excretory system
647V,CIDs10368812,CIDs10302451,-10.0,excretory system
647V,CIDs51039095,CIDs10302451,-1.09,excretory system
647V,CIDs00005311,CIDs10302451,0.0489,excretory system
647V,CIDs11955716,CIDs10302451,-1.14,excretory system
647V,CIDs49800198,CIDs10302451,30.8,excretory system
647V,CIDs10127622,CIDs10302451,-4.58,excretory system
647V,CIDs23725625,CIDs10302451,-0.373,excretory system
647V,CIDs58423153,CIDs10302451,9.3,excretory system
A549,CIDs56946894,CIDs25227436,21.8,respiratory system
A549,CIDs46244453,CIDs73294313,10.2,respiratory system
A549,CIDs11707110,CIDs42611257,-34.2,respiratory system
A549,CIDs11707110,CIDs70685869,72.2,respiratory system
A549,CIDs46244453,CIDs11152667,50.4,respiratory system
A549,CIDs24978538,CIDs11152667,9.72,respiratory system
A549,CIDs46836568,CIDs11152667,22.4,respiratory system
A549,CIDs49846579,CIDs11152667,-10.3,respiratory system
A549,CIDs56946894,CIDs11152667,6.68,respiratory system
A549,CIDs49800198,CIDs11152667,6.88,respiratory system
A549,CIDs73294313,CIDs56946894,7.1,respiratory system
A549,CIDs24978538,CIDs56946894,-1.42,respiratory system
A549,CIDs46836568,CIDs56946894,8.1,respiratory system
A549,CIDs49846579,CIDs56946894,-2.45,respiratory system
A549,CIDs42611257,CIDs56946894,0.5720000000000001,respiratory system
A549,CIDs70685869,CIDs56946894,19.6,respiratory system
A549,CIDs11597571,CIDs56946894,23.8,respiratory system
A549,CIDs11213558,CIDs56946894,14.8,respiratory system
A549,CIDs44381568,CIDs56946894,1.66,respiratory system
A549,CIDs56946894,CIDs00123631,7.76,respiratory system
A549,CIDs46244453,CIDs49800198,12.8,respiratory system
A549,CIDs24978538,CIDs49800198,-71.0,respiratory system
A549,CIDs46836568,CIDs49800198,-81.9,respiratory system
A549,CIDs49846579,CIDs49800198,-16.5,respiratory system
A549,CIDs56946894,CIDs49800198,50.0,respiratory system
A549,CIDs00064780,CIDs49800198,16.1,respiratory system
A549,CIDs00001690,CIDs49800198,16.6,respiratory system
A549,CIDs00003461,CIDs49800198,5.98,respiratory system
A549,CIDs44199317,CIDs49800198,-8.57,respiratory system
A549,CIDs17755052,CIDs49800198,34.7,respiratory system
A549,CIDs44449126,CIDs49800198,9.76,respiratory system
A549,CIDs44137675,CIDs49800198,7.53,respiratory system
A549,CIDs11213558,CIDs49800198,-2.97,respiratory system
A549,CIDs00003310,CIDs49800198,12.1,respiratory system
A549,CIDs00005515,CIDs49800198,52.9,respiratory system
A549,CIDs05311497,CIDs49800198,23.4,respiratory system
A549,CIDs10127622,CIDs56673688,61.5,respiratory system
A549,CIDs73294313,CIDs10127622,70.2,respiratory system
A549,CIDs42611257,CIDs10127622,-26.3,respiratory system
A549,CIDs70685869,CIDs10127622,112.0,respiratory system
A549,CIDs24964624,CIDs25262792,45.4,respiratory system
A549,CIDs56946894,CIDs23725625,-0.193,respiratory system
A549,CIDs56946894,CIDs44199317,6.48,respiratory system
A549,CIDs56946894,CIDs17755052,6.13,respiratory system
A549,CIDs00001690,CIDs17755052,-4.52,respiratory system
A549,CIDs00005515,CIDs17755052,12.4,respiratory system
A549,CIDs56946894,CIDs44449126,5.31,respiratory system
A549,CIDs00001690,CIDs44137675,-1.26,respiratory system
A549,CIDs00005515,CIDs44137675,-1.35,respiratory system
A549,CIDs00001690,CIDs58423153,71.5,respiratory system
A549,CIDs00003310,CIDs58423153,68.3,respiratory system
A549,CIDs46244453,CIDs11213558,23.3,respiratory system
A549,CIDs73294313,CIDs03081361,40.3,respiratory system
A549,CIDs00001690,CIDs11327430,56.6,respiratory system
A549,CIDs00003310,CIDs11327430,57.8,respiratory system
A549,CIDs49846579,CIDs00003310,-14.0,respiratory system
A549,CIDs46836568,CIDs00005515,46.4,respiratory system
A549,CIDs49846579,CIDs00005515,-3.42,respiratory system
A549,CIDs46836568,CIDs05311497,7.21,respiratory system
A549,CIDs49846579,CIDs05311497,-5.02,respiratory system
BFTC905,CIDs15953870,CIDs25227436,70.7,excretory system
BFTC905,CIDs46244453,CIDs25227436,-14.2,excretory system
BFTC905,CIDs11375205,CIDs25227436,114.0,excretory system
BFTC905,CIDs51039095,CIDs25227436,-101.0,excretory system
BFTC905,CIDs00005311,CIDs25227436,2.13,excretory system
BFTC905,CIDs11955716,CIDs25227436,14.2,excretory system
BFTC905,CIDs49800198,CIDs25227436,-13.9,excretory system
BFTC905,CIDs25262792,CIDs25227436,74.9,excretory system
BFTC905,CIDs23725625,CIDs25227436,39.2,excretory system
BFTC905,CIDs17755052,CIDs25227436,49.0,excretory system
BFTC905,CIDs54751698,CIDs25227436,27.9,excretory system
BFTC905,CIDs58423153,CIDs25227436,21.0,excretory system
BFTC905,CIDs10302451,CIDs25227436,1.36,excretory system
BFTC905,CIDs00005515,CIDs25227436,108.0,excretory system
BFTC905,CIDs46244453,CIDs15953870,20.5,excretory system
BFTC905,CIDs23725625,CIDs15953870,13.9,excretory system
BFTC905,CIDs23725625,CIDs46244453,-13.4,excretory system
BFTC905,CIDs15953870,CIDs72793174,22.0,excretory system
BFTC905,CIDs46244453,CIDs72793174,20.6,excretory system
BFTC905,CIDs00005311,CIDs72793174,42.6,excretory system
BFTC905,CIDs11955716,CIDs72793174,11.6,excretory system
BFTC905,CIDs23725625,CIDs72793174,47.2,excretory system
BFTC905,CIDs00005515,CIDs72793174,42.1,excretory system
BFTC905,CIDs25227436,CIDs11152667,-41.0,excretory system
BFTC905,CIDs15953870,CIDs11152667,-49.7,excretory system
BFTC905,CIDs72793174,CIDs11152667,3.66,excretory system
BFTC905,CIDs11375205,CIDs11152667,42.2,excretory system
BFTC905,CIDs51039095,CIDs11152667,41.9,excretory system
BFTC905,CIDs11955716,CIDs11152667,-2.27,excretory system
BFTC905,CIDs49800198,CIDs11152667,-6.27,excretory system
BFTC905,CIDs10127622,CIDs11152667,-40.5,excretory system
BFTC905,CIDs25262792,CIDs11152667,-49.7,excretory system
BFTC905,CIDs23725625,CIDs11152667,-9.87,excretory system
BFTC905,CIDs54751698,CIDs11152667,-28.0,excretory system
BFTC905,CIDs58423153,CIDs11152667,-11.8,excretory system
BFTC905,CIDs15953870,CIDs10368812,-8.64,excretory system
BFTC905,CIDs46244453,CIDs10368812,-19.2,excretory system
BFTC905,CIDs00005311,CIDs10368812,-11.0,excretory system
BFTC905,CIDs11955716,CIDs10368812,-4.11,excretory system
BFTC905,CIDs49800198,CIDs10368812,5.5,excretory system
BFTC905,CIDs23725625,CIDs10368812,-2.89,excretory system
BFTC905,CIDs58423153,CIDs10368812,23.0,excretory system
BFTC905,CIDs15953870,CIDs11375205,23.2,excretory system
BFTC905,CIDs46244453,CIDs11375205,19.7,excretory system
BFTC905,CIDs72793174,CIDs11375205,-27.1,excretory system
BFTC905,CIDs10368812,CIDs11375205,21.0,excretory system
BFTC905,CIDs51039095,CIDs11375205,-3.04,excretory system
BFTC905,CIDs00005311,CIDs11375205,19.8,excretory system
BFTC905,CIDs11955716,CIDs11375205,-4.59,excretory system
BFTC905,CIDs49800198,CIDs11375205,-8.97,excretory system
BFTC905,CIDs10127622,CIDs11375205,108.0,excretory system
BFTC905,CIDs23725625,CIDs11375205,58.0,excretory system
BFTC905,CIDs58423153,CIDs11375205,-54.4,excretory system
BFTC905,CIDs00005515,CIDs11375205,6.7,excretory system
BFTC905,CIDs15953870,CIDs51039095,20.6,excretory system
BFTC905,CIDs46244453,CIDs51039095,10.1,excretory system
BFTC905,CIDs72793174,CIDs51039095,3.84,excretory system
BFTC905,CIDs10368812,CIDs51039095,3.45,excretory system
BFTC905,CIDs00005311,CIDs51039095,5.2,excretory system
BFTC905,CIDs11955716,CIDs51039095,3.6,excretory system
BFTC905,CIDs49800198,CIDs51039095,-21.9,excretory system
BFTC905,CIDs23725625,CIDs51039095,-19.6,excretory system
BFTC905,CIDs58423153,CIDs51039095,-9.02,excretory system
BFTC905,CIDs00005515,CIDs51039095,6.03,excretory system
BFTC905,CIDs15953870,CIDs00005311,28.5,excretory system
BFTC905,CIDs46244453,CIDs00005311,-24.9,excretory system
BFTC905,CIDs23725625,CIDs00005311,1.1,excretory system
BFTC905,CIDs15953870,CIDs11955716,14.2,excretory system
BFTC905,CIDs46244453,CIDs11955716,-14.8,excretory system
BFTC905,CIDs00005311,CIDs11955716,5.27,excretory system
BFTC905,CIDs23725625,CIDs11955716,17.1,excretory system
BFTC905,CIDs46244453,CIDs49800198,0.14300000000000002,excretory system
BFTC905,CIDs72793174,CIDs49800198,0.155,excretory system
BFTC905,CIDs00005311,CIDs49800198,-3.86,excretory system
BFTC905,CIDs11955716,CIDs49800198,-4.15,excretory system
BFTC905,CIDs10127622,CIDs49800198,-20.8,excretory system
BFTC905,CIDs23725625,CIDs49800198,11.4,excretory system
BFTC905,CIDs58423153,CIDs49800198,-4.31,excretory system
BFTC905,CIDs00005515,CIDs49800198,28.9,excretory system
BFTC905,CIDs15953870,CIDs10127622,18.9,excretory system
BFTC905,CIDs46244453,CIDs10127622,-25.5,excretory system
BFTC905,CIDs72793174,CIDs10127622,28.0,excretory system
BFTC905,CIDs00005311,CIDs10127622,47.1,excretory system
BFTC905,CIDs11955716,CIDs10127622,35.2,excretory system
BFTC905,CIDs23725625,CIDs10127622,-11.0,excretory system
BFTC905,CIDs58423153,CIDs10127622,32.7,excretory system
BFTC905,CIDs15953870,CIDs25262792,10.6,excretory system
BFTC905,CIDs46244453,CIDs25262792,-16.4,excretory system
BFTC905,CIDs72793174,CIDs25262792,50.2,excretory system
BFTC905,CIDs10368812,CIDs25262792,7.02,excretory system
BFTC905,CIDs11375205,CIDs25262792,7.43,excretory system
BFTC905,CIDs51039095,CIDs25262792,8.13,excretory system
BFTC905,CIDs00005311,CIDs25262792,25.9,excretory system
BFTC905,CIDs11955716,CIDs25262792,-2.46,excretory system
BFTC905,CIDs49800198,CIDs25262792,13.5,excretory system
BFTC905,CIDs10127622,CIDs25262792,35.9,excretory system
BFTC905,CIDs23725625,CIDs25262792,17.3,excretory system
BFTC905,CIDs17755052,CIDs25262792,38.8,excretory system
BFTC905,CIDs54751698,CIDs25262792,35.8,excretory system
BFTC905,CIDs58423153,CIDs25262792,41.2,excretory system
BFTC905,CIDs10302451,CIDs25262792,-2.63,excretory system
BFTC905,CIDs00005515,CIDs25262792,85.3,excretory system
BFTC905,CIDs15953870,CIDs17755052,23.1,excretory system
BFTC905,CIDs46244453,CIDs17755052,0.65,excretory system
BFTC905,CIDs72793174,CIDs17755052,59.3,excretory system
BFTC905,CIDs10368812,CIDs17755052,-33.2,excretory system
BFTC905,CIDs11375205,CIDs17755052,47.1,excretory system
BFTC905,CIDs51039095,CIDs17755052,-7.29,excretory system
BFTC905,CIDs00005311,CIDs17755052,7.8,excretory system
BFTC905,CIDs11955716,CIDs17755052,0.237,excretory system
BFTC905,CIDs49800198,CIDs17755052,3.22,excretory system
BFTC905,CIDs10127622,CIDs17755052,77.5,excretory system
BFTC905,CIDs23725625,CIDs17755052,59.6,excretory system
BFTC905,CIDs58423153,CIDs17755052,47.8,excretory system
BFTC905,CIDs10302451,CIDs17755052,4.03,excretory system
BFTC905,CIDs00005515,CIDs17755052,37.8,excretory system
BFTC905,CIDs15953870,CIDs54751698,35.0,excretory system
BFTC905,CIDs46244453,CIDs54751698,0.7190000000000001,excretory system
BFTC905,CIDs72793174,CIDs54751698,46.1,excretory system
BFTC905,CIDs10368812,CIDs54751698,6.2,excretory system
BFTC905,CIDs11375205,CIDs54751698,8.75,excretory system
BFTC905,CIDs00005311,CIDs54751698,19.3,excretory system
BFTC905,CIDs11955716,CIDs54751698,0.583,excretory system
BFTC905,CIDs49800198,CIDs54751698,-2.44,excretory system
BFTC905,CIDs10127622,CIDs54751698,13.3,excretory system
BFTC905,CIDs23725625,CIDs54751698,37.3,excretory system
BFTC905,CIDs17755052,CIDs54751698,18.4,excretory system
BFTC905,CIDs58423153,CIDs54751698,35.4,excretory system
BFTC905,CIDs10302451,CIDs54751698,-14.2,excretory system
BFTC905,CIDs15953870,CIDs58423153,142.0,excretory system
BFTC905,CIDs46244453,CIDs58423153,-40.0,excretory system
BFTC905,CIDs72793174,CIDs58423153,53.8,excretory system
BFTC905,CIDs00005311,CIDs58423153,109.0,excretory system
BFTC905,CIDs11955716,CIDs58423153,29.9,excretory system
BFTC905,CIDs23725625,CIDs58423153,-3.37,excretory system
BFTC905,CIDs15953870,CIDs10302451,-4.23,excretory system
BFTC905,CIDs46244453,CIDs10302451,-11.9,excretory system
BFTC905,CIDs72793174,CIDs10302451,2.83,excretory system
BFTC905,CIDs10368812,CIDs10302451,10.8,excretory system
BFTC905,CIDs51039095,CIDs10302451,-30.3,excretory system
BFTC905,CIDs00005311,CIDs10302451,-35.8,excretory system
BFTC905,CIDs11955716,CIDs10302451,-8.1,excretory system
BFTC905,CIDs49800198,CIDs10302451,-26.1,excretory system
BFTC905,CIDs10127622,CIDs10302451,30.9,excretory system
BFTC905,CIDs23725625,CIDs10302451,-20.4,excretory system
BFTC905,CIDs58423153,CIDs10302451,-0.873,excretory system
BT20,CIDs17755052,CIDs25227436,20.6,breast
BT20,CIDs56649450,CIDs25227436,12.9,breast
BT20,CIDs54751698,CIDs25227436,12.0,breast
BT20,CIDs16654980,CIDs25227436,3.44,breast
BT20,CIDs25227436,CIDs24964624,20.3,breast
BT20,CIDs25262792,CIDs24964624,54.3,breast
BT20,CIDs17755052,CIDs24964624,32.9,breast
BT20,CIDs56649450,CIDs24964624,12.4,breast
BT20,CIDs54751698,CIDs24964624,1.85,breast
BT20,CIDs16654980,CIDs24964624,20.3,breast
BT20,CIDs25227436,CIDs67161792,24.0,breast
BT20,CIDs24964624,CIDs67161792,23.9,breast
BT20,CIDs72793174,CIDs67161792,6.62,breast
BT20,CIDs51039095,CIDs67161792,19.6,breast
BT20,CIDs10127622,CIDs67161792,20.1,breast
BT20,CIDs25262792,CIDs67161792,23.9,breast
BT20,CIDs17755052,CIDs67161792,17.7,breast
BT20,CIDs54751698,CIDs67161792,14.6,breast
BT20,CIDs25227436,CIDs73294313,45.5,breast
BT20,CIDs24964624,CIDs73294313,24.0,breast
BT20,CIDs72793174,CIDs73294313,6.22,breast
BT20,CIDs51039095,CIDs73294313,8.3,breast
BT20,CIDs25262792,CIDs73294313,34.6,breast
BT20,CIDs17755052,CIDs73294313,21.3,breast
BT20,CIDs54751698,CIDs73294313,23.0,breast
BT20,CIDs25227436,CIDs46244453,-0.792,breast
BT20,CIDs24964624,CIDs46244453,14.4,breast
BT20,CIDs72793174,CIDs46244453,-1.16,breast
BT20,CIDs51039095,CIDs46244453,8.84,breast
BT20,CIDs10127622,CIDs46244453,-11.7,breast
BT20,CIDs25262792,CIDs46244453,-22.9,breast
BT20,CIDs17755052,CIDs46244453,-0.0389,breast
BT20,CIDs54751698,CIDs46244453,3.16,breast
BT20,CIDs25227436,CIDs49846579,25.7,breast
BT20,CIDs24964624,CIDs49846579,25.5,breast
BT20,CIDs25262792,CIDs49846579,9.44,breast
BT20,CIDs17755052,CIDs49846579,13.9,breast
BT20,CIDs24964624,CIDs72793174,17.0,breast
BT20,CIDs51039095,CIDs72793174,-2.41,breast
BT20,CIDs10127622,CIDs72793174,14.9,breast
BT20,CIDs25262792,CIDs72793174,18.2,breast
BT20,CIDs17755052,CIDs72793174,27.4,breast
BT20,CIDs56649450,CIDs72793174,17.3,breast
BT20,CIDs54751698,CIDs72793174,5.57,breast
BT20,CIDs16654980,CIDs72793174,7.76,breast
BT20,CIDs25227436,CIDs46836568,90.4,breast
BT20,CIDs24964624,CIDs46836568,28.4,breast
BT20,CIDs25262792,CIDs46836568,65.5,breast
BT20,CIDs17755052,CIDs46836568,79.9,breast
BT20,CIDs10127622,CIDs70685869,30.6,breast
BT20,CIDs11707110,CIDs70685869,30.3,breast
BT20,CIDs46244453,CIDs11152667,51.0,breast
BT20,CIDs25227436,CIDs00002719,18.4,breast
BT20,CIDs24964624,CIDs00002719,21.7,breast
BT20,CIDs25262792,CIDs00002719,24.8,breast
BT20,CIDs17755052,CIDs00002719,59.0,breast
BT20,CIDs25227436,CIDs56946894,12.0,breast
BT20,CIDs25262792,CIDs56946894,21.9,breast
BT20,CIDs17755052,CIDs56946894,2.14,breast
BT20,CIDs25227436,CIDs10163178,34.6,breast
BT20,CIDs24964624,CIDs10163178,55.1,breast
BT20,CIDs72793174,CIDs10163178,10.4,breast
BT20,CIDs51039095,CIDs10163178,19.2,breast
BT20,CIDs10127622,CIDs10163178,53.6,breast
BT20,CIDs25262792,CIDs10163178,22.5,breast
BT20,CIDs17755052,CIDs10163178,39.8,breast
BT20,CIDs54751698,CIDs10163178,7.29,breast
BT20,CIDs25227436,CIDs00123631,74.6,breast
BT20,CIDs24964624,CIDs00123631,41.4,breast
BT20,CIDs25262792,CIDs00123631,60.9,breast
BT20,CIDs17755052,CIDs00123631,52.1,breast
BT20,CIDs72793174,CIDs11375205,8.35,breast
BT20,CIDs51039095,CIDs11375205,-1.82,breast
BT20,CIDs10127622,CIDs11375205,26.9,breast
BT20,CIDs56649450,CIDs11375205,22.2,breast
BT20,CIDs54751698,CIDs11375205,19.2,breast
BT20,CIDs16654980,CIDs11375205,-0.469,breast
BT20,CIDs25227436,CIDs46224759,20.1,breast
BT20,CIDs24964624,CIDs46224759,-5.96,breast
BT20,CIDs72793174,CIDs46224759,-0.0272,breast
BT20,CIDs51039095,CIDs46224759,2.89,breast
BT20,CIDs10127622,CIDs46224759,-0.237,breast
BT20,CIDs25262792,CIDs46224759,9.16,breast
BT20,CIDs17755052,CIDs46224759,-0.9990000000000001,breast
BT20,CIDs54751698,CIDs46224759,18.7,breast
BT20,CIDs25227436,CIDs00104741,2.93,breast
BT20,CIDs24964624,CIDs00104741,-12.7,breast
BT20,CIDs25262792,CIDs00104741,6.63,breast
BT20,CIDs17755052,CIDs00104741,47.0,breast
BT20,CIDs25227436,CIDs00005376,11.8,breast
BT20,CIDs24964624,CIDs00005376,57.5,breast
BT20,CIDs25262792,CIDs00005376,7.24,breast
BT20,CIDs17755052,CIDs00005376,-12.9,breast
BT20,CIDs25227436,CIDs74767926,10.2,breast
BT20,CIDs24964624,CIDs74767926,31.7,breast
BT20,CIDs72793174,CIDs74767926,14.1,breast
BT20,CIDs10127622,CIDs74767926,29.0,breast
BT20,CIDs25262792,CIDs74767926,21.0,breast
BT20,CIDs17755052,CIDs74767926,26.9,breast
BT20,CIDs54751698,CIDs74767926,10.4,breast
BT20,CIDs25227436,CIDs51039095,-0.46799999999999997,breast
BT20,CIDs25262792,CIDs51039095,6.25,breast
BT20,CIDs17755052,CIDs51039095,23.1,breast
BT20,CIDs56649450,CIDs51039095,6.33,breast
BT20,CIDs46244453,CIDs00003461,30.7,breast
BT20,CIDs25227436,CIDs49800198,5.98,breast
BT20,CIDs46836568,CIDs49800198,102.0,breast
BT20,CIDs49846579,CIDs49800198,33.4,breast
BT20,CIDs24964624,CIDs10127622,37.4,breast
BT20,CIDs25262792,CIDs10127622,41.3,breast
BT20,CIDs17755052,CIDs10127622,52.5,breast
BT20,CIDs25262792,CIDs11707110,44.4,breast
BT20,CIDs17755052,CIDs11707110,42.4,breast
BT20,CIDs25227436,CIDs25262792,33.7,breast
BT20,CIDs24964624,CIDs25262792,78.7,breast
BT20,CIDs10127622,CIDs25262792,28.1,breast
BT20,CIDs17755052,CIDs25262792,5.68,breast
